ID,Lang,Blk,BlkTrlNum,TrlNum,Tar,Cue,TarPos,TarDir,Acc,RT
S106,M,B3,BT28,T220,Congruent,Central,Above,Right,1,547.2
S106,M,B3,BT29,T221,Incongruent,Spatial,Above,Right,1,590.49
S106,M,B3,BT30,T222,Incongruent,Double,Below,Left,1,620.35
S106,M,B3,BT31,T223,Congruent,None,Below,Right,1,509.47
S106,M,B3,BT32,T224,Congruent,Central,Below,Left,1,523.14
S106,M,B3,BT33,T225,Congruent,None,Above,Right,1,472.49
S106,M,B3,BT34,T226,Incongruent,Spatial,Above,Left,1,658.94
S106,M,B3,BT35,T227,Congruent,Spatial,Above,Left,1,396.9
S106,M,B3,BT36,T228,Congruent,None,Below,Left,1,681.4
S106,M,B3,BT37,T229,Incongruent,Spatial,Below,Right,1,574.9
S106,M,B3,BT38,T230,Incongruent,Spatial,Above,Right,1,429.4
S106,M,B3,BT39,T231,Incongruent,Central,Above,Left,1,689.3
S106,M,B3,BT40,T232,Congruent,Central,Below,Left,1,490.54
S106,M,B3,BT41,T233,Congruent,None,Below,Left,1,532.94
S106,M,B3,BT42,T234,Incongruent,Double,Above,Left,1,543.61
S106,M,B3,BT43,T235,Congruent,Spatial,Below,Right,1,597.25
S106,M,B3,BT44,T236,Incongruent,Double,Above,Right,1,604.98
S106,M,B3,BT45,T237,Congruent,Central,Below,Left,1,479.77
S106,M,B3,BT46,T238,Incongruent,None,Above,Right,1,665.28
S106,M,B3,BT47,T239,Incongruent,Double,Above,Left,0,473.74
S106,M,B3,BT48,T240,Incongruent,Central,Below,Right,1,740.74
S106,M,B3,BT49,T241,Incongruent,Central,Below,Right,1,592.16
S106,M,B3,BT50,T242,Congruent,Spatial,Below,Left,1,477.57
S106,M,B3,BT51,T243,Incongruent,Spatial,Below,Left,1,449.64
S106,M,B3,BT52,T244,Congruent,None,Above,Left,1,446.61
S106,M,B3,BT53,T245,Congruent,None,Below,Right,1,453.65
